date,store_id,region,category,units_sold,unit_price,revenue,promo_flag,holiday_flag,day_of_week,is_weekend
30-01-2023,S1,North,Electronics,19,219.83,4176.77,0,0,0,0
31-01-2023,S1,North,Electronics,23,216.98,4990.54,0,0,1,0
01-02-2023,S1,North,Electronics,28,218.92,6129.76,0,0,2,0
02-02-2023,S1,North,Electronics,23,224.28,5158.44,0,0,3,0
03-02-2023,S1,North,Electronics,29,190.17,5514.93,1,0,4,0
04-02-2023,S1,North,Electronics,28,220.28,6167.84,0,0,5,1
05-02-2023,S1,North,Electronics,23,221.94,5104.62,0,0,6,1
06-02-2023,S1,North,Electronics,23,223.03,5129.69,0,0,0,0
07-02-2023,S1,North,Electronics,20,222.2,4444,0,0,1,0
08-02-2023,S1,North,Electronics,19,216.52,4113.88,0,0,2,0
09-02-2023,S1,North,Electronics,26,184.62,4800.12,1,0,3,0
10-02-2023,S1,North,Electronics,24,216.38,5193.12,0,0,4,0
11-02-2023,S1,North,Electronics,25,220.31,5507.75,0,0,5,1
12-02-2023,S1,North,Electronics,22,219.77,4834.94,0,0,6,1
13-02-2023,S1,North,Electronics,18,218.72,3936.96,0,0,0,0
14-02-2023,S1,North,Electronics,20,220.74,4414.8,0,0,1,0
15-02-2023,S1,North,Electronics,26,222.08,5774.08,0,0,2,0
16-02-2023,S1,North,Electronics,26,220.57,5734.82,0,0,3,0
17-02-2023,S1,North,Electronics,24,218.93,5254.32,0,0,4,0
18-02-2023,S1,North,Electronics,25,220.95,5523.75,0,0,5,1
19-02-2023,S1,North,Electronics,22,217.75,4790.5,0,0,6,1
20-02-2023,S1,North,Electronics,15,223.82,3357.3,0,0,0,0
21-02-2023,S1,North,Electronics,20,215.67,4313.4,0,0,1,0
22-02-2023,S1,North,Electronics,18,219.89,3958.02,0,0,2,0
23-02-2023,S1,North,Electronics,17,223.09,3792.53,0,0,3,0
24-02-2023,S1,North,Electronics,28,183.3,5132.4,1,0,4,0
25-02-2023,S1,North,Electronics,23,224.18,5156.14,0,0,5,1
26-02-2023,S1,North,Electronics,27,222.82,6016.14,0,0,6,1
27-02-2023,S1,North,Electronics,19,221.92,4216.48,0,0,0,0
28-02-2023,S1,North,Electronics,15,222.98,3344.7,0,0,1,0
01-03-2023,S1,North,Electronics,25,217.4,5435,0,0,2,0
02-03-2023,S1,North,Electronics,20,220.26,4405.2,0,0,3,0
03-03-2023,S1,North,Electronics,17,221.82,3770.94,0,0,4,0
04-03-2023,S1,North,Electronics,21,220.05,4621.05,0,0,5,1
05-03-2023,S1,North,Electronics,22,223.8,4923.6,0,0,6,1
06-03-2023,S1,North,Electronics,20,218.85,4377,0,0,0,0
07-03-2023,S1,North,Electronics,20,187.36,3747.2,1,0,1,0
08-03-2023,S1,North,Electronics,28,183.92,5149.76,1,0,2,0
09-03-2023,S1,North,Electronics,16,216.82,3469.12,0,0,3,0
10-03-2023,S1,North,Electronics,23,222.59,5119.57,0,0,4,0
11-03-2023,S1,North,Electronics,19,216.54,4114.26,0,0,5,1
12-03-2023,S1,North,Electronics,21,219.19,4602.99,0,0,6,1
13-03-2023,S1,North,Electronics,19,223.81,4252.39,0,0,0,0
14-03-2023,S1,North,Electronics,26,190.19,4944.94,1,0,1,0
15-03-2023,S1,North,Electronics,15,221.95,3329.25,0,0,2,0
16-03-2023,S1,North,Electronics,18,222.64,4007.52,0,0,3,0
17-03-2023,S1,North,Electronics,18,222.86,4011.48,0,0,4,0
18-03-2023,S1,North,Electronics,18,221.18,3981.24,0,0,5,1
19-03-2023,S1,North,Electronics,18,223.59,4024.62,0,0,6,1
20-03-2023,S1,North,Electronics,27,186.64,5039.28,1,0,0,0
21-03-2023,S1,North,Electronics,18,221.88,3993.84,0,0,1,0
22-03-2023,S1,North,Electronics,17,220.35,3745.95,0,0,2,0
23-03-2023,S1,North,Electronics,25,187.58,4689.5,1,0,3,0
24-03-2023,S1,North,Electronics,14,220.28,3083.92,0,0,4,0
25-03-2023,S1,North,Electronics,15,216.19,3242.85,0,0,5,1
26-03-2023,S1,North,Electronics,19,219.4,4168.6,0,0,6,1
27-03-2023,S1,North,Electronics,13,218.53,2840.89,0,0,0,0
28-03-2023,S1,North,Electronics,17,217.07,3690.19,0,0,1,0
29-03-2023,S1,North,Electronics,17,223.33,3796.61,0,0,2,0
30-03-2023,S1,North,Electronics,18,220.64,3971.52,0,0,3,0
31-03-2023,S1,North,Electronics,15,224.38,3365.7,0,0,4,0
01-04-2023,S1,North,Electronics,19,222.45,4226.55,0,0,5,1
02-04-2023,S1,North,Electronics,19,216.86,4120.34,0,0,6,1
03-04-2023,S1,North,Electronics,16,219.95,3519.2,0,0,0,0
04-04-2023,S1,North,Electronics,13,222.24,2889.12,0,0,1,0
05-04-2023,S1,North,Electronics,15,218.93,3283.95,0,0,2,0
06-04-2023,S1,North,Electronics,13,219.62,2855.06,0,0,3,0
07-04-2023,S1,North,Electronics,14,220.35,3084.9,0,0,4,0
08-04-2023,S1,North,Electronics,21,219.88,4617.48,0,0,5,1
09-04-2023,S1,North,Electronics,19,215.71,4098.49,0,0,6,1
10-04-2023,S1,North,Electronics,13,220.87,2871.31,0,0,0,0
11-04-2023,S1,North,Electronics,17,220.87,3754.79,0,0,1,0
12-04-2023,S1,North,Electronics,14,222.88,3120.32,0,0,2,0
13-04-2023,S1,North,Electronics,13,217.6,2828.8,0,0,3,0
14-04-2023,S1,North,Electronics,14,219.33,3070.62,0,0,4,0
15-04-2023,S1,North,Electronics,17,223.62,3801.54,0,0,5,1
16-04-2023,S1,North,Electronics,12,216.82,2601.84,0,0,6,1
17-04-2023,S1,North,Electronics,13,221.99,2885.87,0,0,0,0
18-04-2023,S1,North,Electronics,12,220.82,2649.84,0,0,1,0
19-04-2023,S1,North,Electronics,15,218.9,3283.5,0,0,2,0
20-04-2023,S1,North,Electronics,18,183.84,3309.12,1,0,3,0
21-04-2023,S1,North,Electronics,12,217.24,2606.88,0,0,4,0
22-04-2023,S1,North,Electronics,14,222.97,3121.58,0,0,5,1
23-04-2023,S1,North,Electronics,12,217.6,2611.2,0,0,6,1
24-04-2023,S1,North,Electronics,11,220.95,2430.45,0,0,0,0
25-04-2023,S1,North,Electronics,14,217.41,3043.74,0,0,1,0
26-04-2023,S1,North,Electronics,11,222.53,2447.83,0,0,2,0
27-04-2023,S1,North,Electronics,11,219.25,2411.75,0,0,3,0
28-04-2023,S1,North,Electronics,12,223.2,2678.4,0,0,4,0
29-04-2023,S1,North,Electronics,13,219.83,2857.79,0,0,5,1
30-04-2023,S1,North,Electronics,15,223.68,3355.2,0,0,6,1
01-05-2023,S1,North,Electronics,11,223.63,2459.93,0,0,0,0
02-05-2023,S1,North,Electronics,12,217.78,2613.36,0,0,1,0
03-05-2023,S1,North,Electronics,10,215.9,2159,0,0,2,0
04-05-2023,S1,North,Electronics,12,218.34,2620.08,0,0,3,0
05-05-2023,S1,North,Electronics,10,217.54,2175.4,0,0,4,0
06-05-2023,S1,North,Electronics,14,217.47,3044.58,0,0,5,1
07-05-2023,S1,North,Electronics,14,219.64,3074.96,0,0,6,1
08-05-2023,S1,North,Electronics,11,220.5,2425.5,0,0,0,0
09-05-2023,S1,North,Electronics,11,217.22,2389.42,0,0,1,0
10-05-2023,S1,North,Electronics,12,218.24,2618.88,0,0,2,0
11-05-2023,S1,North,Electronics,10,219.36,2193.6,0,0,3,0
12-05-2023,S1,North,Electronics,9,222.64,2003.76,0,0,4,0
13-05-2023,S1,North,Electronics,12,221.1,2653.2,0,0,5,1
14-05-2023,S1,North,Electronics,9,218.92,1970.28,0,0,6,1
15-05-2023,S1,North,Electronics,11,218.19,2400.09,0,0,0,0
16-05-2023,S1,North,Electronics,12,221.88,2662.56,0,0,1,0
17-05-2023,S1,North,Electronics,14,219.83,3077.62,0,0,2,0
18-05-2023,S1,North,Electronics,13,219.97,2859.61,0,0,3,0
19-05-2023,S1,North,Electronics,10,218.54,2185.4,0,0,4,0
20-05-2023,S1,North,Electronics,12,216.26,2595.12,0,0,5,1
21-05-2023,S1,North,Electronics,11,223.5,2458.5,0,0,6,1
22-05-2023,S1,North,Electronics,11,220.23,2422.53,0,0,0,0
23-05-2023,S1,North,Electronics,12,217.83,2613.96,0,0,1,0
24-05-2023,S1,North,Electronics,7,217.33,1521.31,0,0,2,0
25-05-2023,S1,North,Electronics,13,218.59,2841.67,0,0,3,0
26-05-2023,S1,North,Electronics,10,220.61,2206.1,0,0,4,0
27-05-2023,S1,North,Electronics,12,221.94,2663.28,0,0,5,1
28-05-2023,S1,North,Electronics,13,222.69,2894.97,0,0,6,1
29-05-2023,S1,North,Electronics,18,190.46,3428.28,1,0,0,0
30-05-2023,S1,North,Electronics,10,223.91,2239.1,0,0,1,0
31-05-2023,S1,North,Electronics,10,218.45,2184.5,0,0,2,0
01-06-2023,S1,North,Electronics,9,216.36,1947.24,0,0,3,0
02-06-2023,S1,North,Electronics,11,223.06,2453.66,0,0,4,0
03-06-2023,S1,North,Electronics,12,216.68,2600.16,0,0,5,1
04-06-2023,S1,North,Electronics,12,221.79,2661.48,0,0,6,1
05-06-2023,S1,North,Electronics,17,187.93,3194.81,1,0,0,0
06-06-2023,S1,North,Electronics,11,218.79,2406.69,0,0,1,0
07-06-2023,S1,North,Electronics,9,215.9,1943.1,0,0,2,0
08-06-2023,S1,North,Electronics,17,185.97,3161.49,1,0,3,0
09-06-2023,S1,North,Electronics,9,223.18,2008.62,0,0,4,0
10-06-2023,S1,North,Electronics,11,220.58,2426.38,0,0,5,1
11-06-2023,S1,North,Electronics,12,224.27,2691.24,0,0,6,1
12-06-2023,S1,North,Electronics,8,219.87,1758.96,0,0,0,0
13-06-2023,S1,North,Electronics,10,220.11,2201.1,0,0,1,0
14-06-2023,S1,North,Electronics,11,219.14,2410.54,0,0,2,0
15-06-2023,S1,North,Electronics,11,217.52,2392.72,0,0,3,0
16-06-2023,S1,North,Electronics,9,216.76,1950.84,0,0,4,0
17-06-2023,S1,North,Electronics,14,223.53,3129.42,0,0,5,1
18-06-2023,S1,North,Electronics,13,222.84,2896.92,0,0,6,1
19-06-2023,S1,North,Electronics,11,220.26,2422.86,0,0,0,0
20-06-2023,S1,North,Electronics,10,216.19,2161.9,0,0,1,0
21-06-2023,S1,North,Electronics,11,219.17,2410.87,0,0,2,0
22-06-2023,S1,North,Electronics,12,216.54,2598.48,0,0,3,0
23-06-2023,S1,North,Electronics,10,216.83,2168.3,0,0,4,0
24-06-2023,S1,North,Electronics,10,222.04,2220.4,0,0,5,1
25-06-2023,S1,North,Electronics,10,217.81,2178.1,0,0,6,1
26-06-2023,S1,North,Electronics,10,220.64,2206.4,0,0,0,0
27-06-2023,S1,North,Electronics,13,222.98,2898.74,0,0,1,0
28-06-2023,S1,North,Electronics,12,219.31,2631.72,0,0,2,0
29-06-2023,S1,North,Electronics,10,218.71,2187.1,0,0,3,0
30-06-2023,S1,North,Electronics,10,216.2,2162,0,0,4,0
01-07-2023,S1,North,Electronics,11,222.97,2452.67,0,0,5,1
02-07-2023,S1,North,Electronics,13,221.95,2885.35,0,0,6,1
03-07-2023,S1,North,Electronics,10,220.97,2209.7,0,0,0,0
04-07-2023,S1,North,Electronics,14,224,3136,0,1,1,0
05-07-2023,S1,North,Electronics,11,216.79,2384.69,0,0,2,0
06-07-2023,S1,North,Electronics,8,220.35,1762.8,0,0,3,0
07-07-2023,S1,North,Electronics,10,217.03,2170.3,0,0,4,0
08-07-2023,S1,North,Electronics,13,224.01,2912.13,0,0,5,1
09-07-2023,S1,North,Electronics,13,216.96,2820.48,0,0,6,1
10-07-2023,S1,North,Electronics,10,218.63,2186.3,0,0,0,0
11-07-2023,S1,North,Electronics,14,218.69,3061.66,0,0,1,0
12-07-2023,S1,North,Electronics,13,220.86,2871.18,0,0,2,0
13-07-2023,S1,North,Electronics,10,219.65,2196.5,0,0,3,0
14-07-2023,S1,North,Electronics,12,224.07,2688.84,0,0,4,0
15-07-2023,S1,North,Electronics,12,222.55,2670.6,0,0,5,1
16-07-2023,S1,North,Electronics,17,190.43,3237.31,1,0,6,1
17-07-2023,S1,North,Electronics,11,222.27,2444.97,0,0,0,0
18-07-2023,S1,North,Electronics,13,221.97,2885.61,0,0,1,0
19-07-2023,S1,North,Electronics,12,221.21,2654.52,0,0,2,0
20-07-2023,S1,North,Electronics,13,216.05,2808.65,0,0,3,0
21-07-2023,S1,North,Electronics,13,221.5,2879.5,0,0,4,0
22-07-2023,S1,North,Electronics,14,224.39,3141.46,0,0,5,1
23-07-2023,S1,North,Electronics,13,220.49,2866.37,0,0,6,1
24-07-2023,S1,North,Electronics,9,216.66,1949.94,0,0,0,0
25-07-2023,S1,North,Electronics,12,222.03,2664.36,0,0,1,0
26-07-2023,S1,North,Electronics,12,219.31,2631.72,0,0,2,0
27-07-2023,S1,North,Electronics,12,222.6,2671.2,0,0,3,0
28-07-2023,S1,North,Electronics,18,187.17,3369.06,1,0,4,0
29-07-2023,S1,North,Electronics,13,221.27,2876.51,0,0,5,1
30-07-2023,S1,North,Electronics,12,220.53,2646.36,0,0,6,1
31-07-2023,S1,North,Electronics,15,219.83,3297.45,0,0,0,0
01-08-2023,S1,North,Electronics,13,219.48,2853.24,0,0,1,0
02-08-2023,S1,North,Electronics,20,187.54,3750.8,1,0,2,0
03-08-2023,S1,North,Electronics,13,221.42,2878.46,0,0,3,0
04-08-2023,S1,North,Electronics,15,222.09,3331.35,0,0,4,0
05-08-2023,S1,North,Electronics,10,223.31,2233.1,0,0,5,1
06-08-2023,S1,North,Electronics,17,219.27,3727.59,0,0,6,1
07-08-2023,S1,North,Electronics,14,215.6,3018.4,0,0,0,0
08-08-2023,S1,North,Electronics,13,217.23,2823.99,0,0,1,0
09-08-2023,S1,North,Electronics,15,216.22,3243.3,0,0,2,0
10-08-2023,S1,North,Electronics,13,215.68,2803.84,0,0,3,0
11-08-2023,S1,North,Electronics,14,220.71,3089.94,0,0,4,0
12-08-2023,S1,North,Electronics,15,217.99,3269.85,0,0,5,1
13-08-2023,S1,North,Electronics,15,218.56,3278.4,0,0,6,1
14-08-2023,S1,North,Electronics,14,220.2,3082.8,0,0,0,0
15-08-2023,S1,North,Electronics,11,223.1,2454.1,0,0,1,0
16-08-2023,S1,North,Electronics,21,187.67,3941.07,1,0,2,0
17-08-2023,S1,North,Electronics,15,216,3240,0,0,3,0
18-08-2023,S1,North,Electronics,14,216.56,3031.84,0,0,4,0
19-08-2023,S1,North,Electronics,15,224.02,3360.3,0,0,5,1
20-08-2023,S1,North,Electronics,25,185.2,4630,1,0,6,1
21-08-2023,S1,North,Electronics,16,223.38,3574.08,0,0,0,0
22-08-2023,S1,North,Electronics,15,220.89,3313.35,0,0,1,0
23-08-2023,S1,North,Electronics,24,189.53,4548.72,1,0,2,0
24-08-2023,S1,North,Electronics,14,217.63,3046.82,0,0,3,0
25-08-2023,S1,North,Electronics,15,215.92,3238.8,0,0,4,0
26-08-2023,S1,North,Electronics,17,224.02,3808.34,0,0,5,1
27-08-2023,S1,North,Electronics,19,221.14,4201.66,0,0,6,1
28-08-2023,S1,North,Electronics,23,187.14,4304.22,1,0,0,0
29-08-2023,S1,North,Electronics,17,217.89,3704.13,0,0,1,0
30-08-2023,S1,North,Electronics,21,220.13,4622.73,0,0,2,0
31-08-2023,S1,North,Electronics,17,223.5,3799.5,0,0,3,0
01-09-2023,S1,North,Electronics,17,219.68,3734.56,0,0,4,0
02-09-2023,S1,North,Electronics,22,215.91,4750.02,0,0,5,1
03-09-2023,S1,North,Electronics,21,223.48,4693.08,0,0,6,1
04-09-2023,S1,North,Electronics,17,219.04,3723.68,0,0,0,0
05-09-2023,S1,North,Electronics,20,218,4360,0,0,1,0
06-09-2023,S1,North,Electronics,16,223.1,3569.6,0,0,2,0
07-09-2023,S1,North,Electronics,17,215.91,3670.47,0,0,3,0
08-09-2023,S1,North,Electronics,19,222.07,4219.33,0,0,4,0
09-09-2023,S1,North,Electronics,20,218.08,4361.6,0,0,5,1
10-09-2023,S1,North,Electronics,20,220.29,4405.8,0,0,6,1
11-09-2023,S1,North,Electronics,18,224.07,4033.26,0,0,0,0
12-09-2023,S1,North,Electronics,26,187.53,4875.78,1,0,1,0
13-09-2023,S1,North,Electronics,18,221.43,3985.74,0,0,2,0
14-09-2023,S1,North,Electronics,21,222.06,4663.26,0,0,3,0
15-09-2023,S1,North,Electronics,19,220.19,4183.61,0,0,4,0
16-09-2023,S1,North,Electronics,21,216.98,4556.58,0,0,5,1
17-09-2023,S1,North,Electronics,30,185.76,5572.8,1,0,6,1
18-09-2023,S1,North,Electronics,20,217.27,4345.4,0,0,0,0
19-09-2023,S1,North,Electronics,18,223.36,4020.48,0,0,1,0
20-09-2023,S1,North,Electronics,19,223.34,4243.46,0,0,2,0
21-09-2023,S1,North,Electronics,21,215.65,4528.65,0,0,3,0
22-09-2023,S1,North,Electronics,18,223.6,4024.8,0,0,4,0
23-09-2023,S1,North,Electronics,24,215.61,5174.64,0,0,5,1
24-09-2023,S1,North,Electronics,30,184.7,5541,1,0,6,1
25-09-2023,S1,North,Electronics,22,216.34,4759.48,0,0,0,0
26-09-2023,S1,North,Electronics,22,216.62,4765.64,0,0,1,0
27-09-2023,S1,North,Electronics,16,218.91,3502.56,0,0,2,0
28-09-2023,S1,North,Electronics,19,215.76,4099.44,0,0,3,0
29-09-2023,S1,North,Electronics,19,219.4,4168.6,0,0,4,0
30-09-2023,S1,North,Electronics,23,217.18,4995.14,0,0,5,1
01-10-2023,S1,North,Electronics,27,222.23,6000.21,0,0,6,1
02-10-2023,S1,North,Electronics,20,222.38,4447.6,0,0,0,0
03-10-2023,S1,North,Electronics,22,223.94,4926.68,0,0,1,0
04-10-2023,S1,North,Electronics,22,221.84,4880.48,0,0,2,0
05-10-2023,S1,North,Electronics,20,219.77,4395.4,0,0,3,0
06-10-2023,S1,North,Electronics,20,221.3,4426,0,0,4,0
07-10-2023,S1,North,Electronics,31,220.83,6845.73,0,0,5,1
08-10-2023,S1,North,Electronics,23,222.83,5125.09,0,0,6,1
09-10-2023,S1,North,Electronics,21,218.87,4596.27,0,0,0,0
10-10-2023,S1,North,Electronics,21,215.61,4527.81,0,0,1,0
11-10-2023,S1,North,Electronics,24,217,5208,0,0,2,0
12-10-2023,S1,North,Electronics,24,216.5,5196,0,0,3,0
13-10-2023,S1,North,Electronics,22,223.12,4908.64,0,0,4,0
14-10-2023,S1,North,Electronics,30,218.23,6546.9,0,0,5,1
15-10-2023,S1,North,Electronics,26,222.99,5797.74,0,0,6,1
16-10-2023,S1,North,Electronics,21,216.76,4551.96,0,0,0,0
17-10-2023,S1,North,Electronics,25,223.24,5581,0,0,1,0
18-10-2023,S1,North,Electronics,24,223.14,5355.36,0,0,2,0
19-10-2023,S1,North,Electronics,24,224.09,5378.16,0,0,3,0
20-10-2023,S1,North,Electronics,22,218.35,4803.7,0,0,4,0
21-10-2023,S1,North,Electronics,32,218.42,6989.44,0,0,5,1
22-10-2023,S1,North,Electronics,30,217.36,6520.8,0,0,6,1
23-10-2023,S1,North,Electronics,26,223.24,5804.24,0,0,0,0
24-10-2023,S1,North,Electronics,25,219.75,5493.75,0,0,1,0
25-10-2023,S1,North,Electronics,29,220.38,6391.02,0,0,2,0
26-10-2023,S1,North,Electronics,23,216.4,4977.2,0,0,3,0
27-10-2023,S1,North,Electronics,23,216.95,4989.85,0,0,4,0
28-10-2023,S1,North,Electronics,33,215.76,7120.08,0,0,5,1
29-10-2023,S1,North,Electronics,20,222.61,4452.2,0,0,6,1
30-10-2023,S1,North,Electronics,26,224.11,5826.86,0,0,0,0
31-10-2023,S1,North,Electronics,24,217.23,5213.52,0,0,1,0
01-11-2023,S1,North,Electronics,29,217.78,6315.62,0,0,2,0
02-11-2023,S1,North,Electronics,29,220.51,6394.79,0,0,3,0
03-11-2023,S1,North,Electronics,23,221.33,5090.59,0,0,4,0
04-11-2023,S1,North,Electronics,27,218.47,5898.69,0,0,5,1
05-11-2023,S1,North,Electronics,24,224.26,5382.24,0,0,6,1
06-11-2023,S1,North,Electronics,31,216.92,6724.52,0,0,0,0
07-11-2023,S1,North,Electronics,31,219.08,6791.48,0,0,1,0
08-11-2023,S1,North,Electronics,24,224.18,5380.32,0,0,2,0
09-11-2023,S1,North,Electronics,28,222.26,6223.28,0,0,3,0
10-11-2023,S1,North,Electronics,29,223.98,6495.42,0,0,4,0
11-11-2023,S1,North,Electronics,51,184.35,9401.85,1,0,5,1
12-11-2023,S1,North,Electronics,32,216.5,6928,0,0,6,1
13-11-2023,S1,North,Electronics,24,219.84,5276.16,0,0,0,0
14-11-2023,S1,North,Electronics,26,217.45,5653.7,0,0,1,0
15-11-2023,S1,North,Electronics,29,223.88,6492.52,0,0,2,0
16-11-2023,S1,North,Electronics,24,216.24,5189.76,0,0,3,0
17-11-2023,S1,North,Electronics,29,216.33,6273.57,0,0,4,0
18-11-2023,S1,North,Electronics,30,222.86,6685.8,0,0,5,1
19-11-2023,S1,North,Electronics,25,224.2,5605,0,0,6,1
20-11-2023,S1,North,Electronics,22,217.37,4782.14,0,0,0,0
21-11-2023,S1,North,Electronics,29,215.96,6262.84,0,0,1,0
22-11-2023,S1,North,Electronics,28,221.5,6202,0,0,2,0
23-11-2023,S1,North,Electronics,71,221.03,15693.13,0,1,3,0
24-11-2023,S1,North,Electronics,76,220.99,16795.24,0,1,4,0
25-11-2023,S1,North,Electronics,47,187.84,8828.48,1,0,5,1
26-11-2023,S1,North,Electronics,32,219.86,7035.52,0,0,6,1
27-11-2023,S1,North,Electronics,53,220.86,11705.58,0,1,0,0
28-11-2023,S1,North,Electronics,32,222.5,7120,0,0,1,0
29-11-2023,S1,North,Electronics,24,217.04,5208.96,0,0,2,0
30-11-2023,S1,North,Electronics,37,188.68,6981.16,1,0,3,0
01-12-2023,S1,North,Electronics,32,219.82,7034.24,0,0,4,0
02-12-2023,S1,North,Electronics,34,221.02,7514.68,0,0,5,1
03-12-2023,S1,North,Electronics,29,222.15,6442.35,0,0,6,1
04-12-2023,S1,North,Electronics,20,223.27,4465.4,0,0,0,0
05-12-2023,S1,North,Electronics,25,217.02,5425.5,0,0,1,0
06-12-2023,S1,North,Electronics,26,215.78,5610.28,0,0,2,0
07-12-2023,S1,North,Electronics,22,220.37,4848.14,0,0,3,0
08-12-2023,S1,North,Electronics,30,219.94,6598.2,0,0,4,0
09-12-2023,S1,North,Electronics,30,217.54,6526.2,0,0,5,1
10-12-2023,S1,North,Electronics,28,219.28,6139.84,0,0,6,1
11-12-2023,S1,North,Electronics,28,217.13,6079.64,0,0,0,0
12-12-2023,S1,North,Electronics,25,224.05,5601.25,0,0,1,0
13-12-2023,S1,North,Electronics,30,221.13,6633.9,0,0,2,0
14-12-2023,S1,North,Electronics,26,222.07,5773.82,0,0,3,0
15-12-2023,S1,North,Electronics,27,220.38,5950.26,0,0,4,0
16-12-2023,S1,North,Electronics,52,187.66,9758.32,1,0,5,1
17-12-2023,S1,North,Electronics,30,220.93,6627.9,0,0,6,1
18-12-2023,S1,North,Electronics,25,220.86,5521.5,0,0,0,0
19-12-2023,S1,North,Electronics,28,224.33,6281.24,0,0,1,0
20-12-2023,S1,North,Electronics,63,218.1,13740.3,0,1,2,0
21-12-2023,S1,North,Electronics,47,219.7,10325.9,0,1,3,0
22-12-2023,S1,North,Electronics,45,222.96,10033.2,0,1,4,0
23-12-2023,S1,North,Electronics,69,219.17,15122.73,0,1,5,1
24-12-2023,S1,North,Electronics,58,220.9,12812.2,0,1,6,1
25-12-2023,S1,North,Electronics,22,220.11,4842.42,0,0,0,0
26-12-2023,S1,North,Electronics,31,219.23,6796.13,0,0,1,0
27-12-2023,S1,North,Electronics,26,216.46,5627.96,0,0,2,0
28-12-2023,S1,North,Electronics,24,219.16,5259.84,0,0,3,0
29-12-2023,S1,North,Electronics,46,183.97,8462.62,1,0,4,0
30-12-2023,S1,North,Electronics,33,221.34,7304.22,0,0,5,1
31-12-2023,S1,North,Electronics,27,223.15,6025.05,0,0,6,1
01-01-2024,S1,North,Electronics,32,215.68,6901.76,0,1,0,0
02-01-2024,S1,North,Electronics,31,219.09,6791.79,0,0,1,0
03-01-2024,S1,North,Electronics,31,217.69,6748.39,0,0,2,0
04-01-2024,S1,North,Electronics,27,219.49,5926.23,0,0,3,0
05-01-2024,S1,North,Electronics,25,218.51,5462.75,0,0,4,0
06-01-2024,S1,North,Electronics,37,216.88,8024.56,0,0,5,1
07-01-2024,S1,North,Electronics,27,219.56,5928.12,0,0,6,1
08-01-2024,S1,North,Electronics,27,217.82,5881.14,0,0,0,0
09-01-2024,S1,North,Electronics,26,218.76,5687.76,0,0,1,0
10-01-2024,S1,North,Electronics,30,218.74,6562.2,0,0,2,0
11-01-2024,S1,North,Electronics,21,220.29,4626.09,0,0,3,0
12-01-2024,S1,North,Electronics,28,219.53,6146.84,0,0,4,0
13-01-2024,S1,North,Electronics,32,223.21,7142.72,0,0,5,1
14-01-2024,S1,North,Electronics,35,215.9,7556.5,0,0,6,1
15-01-2024,S1,North,Electronics,32,224.28,7176.96,0,0,0,0
16-01-2024,S1,North,Electronics,24,216.05,5185.2,0,0,1,0
17-01-2024,S1,North,Electronics,24,221.23,5309.52,0,0,2,0
18-01-2024,S1,North,Electronics,34,188.41,6405.94,1,0,3,0
19-01-2024,S1,North,Electronics,22,219.1,4820.2,0,0,4,0
20-01-2024,S1,North,Electronics,35,215.75,7551.25,0,0,5,1
21-01-2024,S1,North,Electronics,28,218.44,6116.32,0,0,6,1
22-01-2024,S1,North,Electronics,25,217.84,5446,0,0,0,0
